model,feature,delta_mape,relative_pct
ANN,Material Thickness (mm),25.372114598751068,35.236913093574195
ANN,Crack Length (mm),23.34319394826889,32.419138471102734
ANN,Material,23.18182000517845,32.195021573549184
ANN,Test Temperature (F),0.10723383724689484,0.14892686177388276
XGBoost,Material Thickness (mm),29.204440474510193,41.309166402405225
XGBoost,Crack Length (mm),21.540977001190186,30.469332367083243
XGBoost,Material,19.81672912836075,28.030414136142575
XGBoost,Test Temperature (F),0.1350933015346527,0.19108709436895555
