model,feature,delta_mape,delta_mape_std,relative_pct,n_permutations,n_folds
ANN,Material Thickness (mm),8.291738069057464,3.433617982486806,46.50459653406508,50,5
ANN,Material,7.100822938978672,4.473304368043918,39.82529393557823,50,5
ANN,Test Temperature (F),1.547688065469265,1.0152002296127045,8.680280110852241,50,5
ANN,Patch Thickness (mm),0.2757994279265404,0.37099461159579855,1.5468338499394574,50,5
ANN,Patch,-0.6138837784528732,0.3857637458853197,-3.442995569564996,50,5
Linear,Material Thickness (mm),9.045452234148978,3.029206185550446,48.216559627078766,50,5
Linear,Material,8.030000057816505,4.60460072474085,42.8037168922801,50,5
Linear,Test Temperature (F),1.028488278388977,0.8969901786785976,5.482331354697522,50,5
Linear,Patch Thickness (mm),0.3667442828416824,0.4433626146580794,1.9549213376825598,50,5
Linear,Patch,-0.28936834037303927,0.39272248407436455,-1.5424707882610524,50,5
